AccountId,Account_TxnCount,Account_AvgAmount,Account_StdAmount,Account_MinAmount,Account_MaxAmount,Account_AmountRange
AccountId_1,3,833.3333333333331,206.19652471058046,714.2857142857142,1071.428571428571,357.1428571428569
AccountId_10,965,-123.25488527017023,127.40511677608855,-535.6785714285714,-10.714285714285714,524.9642857142858
AccountId_100,2,3214.2857142857138,505.0762722761055,2857.142857142857,3571.428571428571,714.2857142857142
AccountId_1000,10,346.4285714285714,595.9638432777034,35.714285714285715,1785.7142857142856,1749.9999999999998
AccountId_1002,1,71428.57142857142,0.0,71428.57142857142,71428.57142857142,0.0
AccountId_1004,5,71.42857142857143,0.0,71.42857142857143,71.42857142857143,0.0
AccountId_1005,1,178.57142857142856,0.0,178.57142857142856,178.57142857142856,0.0
AccountId_1006,1,3.571428571428571,0.0,3.571428571428571,3.571428571428571,0.0
AccountId_1007,3,35.714285714285715,30.929478706587094,17.857142857142858,71.42857142857143,53.57142857142857
AccountId_1008,6,303.57142857142856,83.75742428256123,178.57142857142856,357.1428571428571,178.57142857142856
AccountId_1009,1,357.1428571428571,0.0,357.1428571428571,357.1428571428571,0.0
AccountId_101,2,98.21428571428571,12.626906806902637,89.28571428571428,107.14285714285714,17.85714285714286
AccountId_1010,5,78.57142857142858,95.83148474999099,35.714285714285715,250.0,214.28571428571428
AccountId_1011,11,363.63636363636357,12.039283258272171,357.1428571428571,392.8571428571428,35.714285714285666
AccountId_1012,1,178.57142857142856,0.0,178.57142857142856,178.57142857142856,0.0
AccountId_1014,2,357.1428571428571,0.0,357.1428571428571,357.1428571428571,0.0
AccountId_1015,2,35.714285714285715,0.0,35.714285714285715,35.714285714285715,0.0
AccountId_1016,4,232.1428571428571,155.67496226930976,35.714285714285715,357.1428571428571,321.4285714285714
AccountId_1017,3,357.1428571428571,0.0,357.1428571428571,357.1428571428571,0.0
AccountId_1018,6,672.6190476190476,862.9022772806051,71.42857142857143,1785.7142857142856,1714.2857142857142
AccountId_102,1,357.1428571428571,0.0,357.1428571428571,357.1428571428571,0.0
AccountId_1020,1,17.857142857142858,0.0,17.857142857142858,17.857142857142858,0.0
AccountId_1021,1,357.1428571428571,0.0,357.1428571428571,357.1428571428571,0.0
AccountId_1022,3,357.1428571428571,309.29478706587093,178.57142857142856,714.2857142857142,535.7142857142857
AccountId_1023,2,3928.5714285714284,4545.686450484948,714.2857142857142,7142.857142857142,6428.5714285714275
AccountId_1024,1,35.714285714285715,0.0,35.714285714285715,35.714285714285715,0.0
AccountId_1025,7,387.75510204081627,66.58765969541462,357.1428571428571,535.7142857142857,178.57142857142856
AccountId_1026,1,35.714285714285715,0.0,35.714285714285715,35.714285714285715,0.0
AccountId_1027,12,345.2380952380952,53.4811649376876,178.57142857142856,392.8571428571428,214.28571428571422
AccountId_1028,1,178.57142857142856,0.0,178.57142857142856,178.57142857142856,0.0
AccountId_1029,13,38.73626373626374,28.153421159288364,7.142857142857142,107.14285714285714,100.0
AccountId_1031,3,83.33333333333333,20.619652471058053,71.42857142857143,107.14285714285714,35.71428571428571
AccountId_1032,1,1785.7142857142856,0.0,1785.7142857142856,1785.7142857142856,0.0
AccountId_1033,1,35.714285714285715,0.0,35.714285714285715,35.714285714285715,0.0
AccountId_1034,22,37.884740259740255,22.39530748514087,17.857142857142858,107.14285714285714,89.28571428571428
AccountId_1036,1,3571.428571428571,0.0,3571.428571428571,3571.428571428571,0.0
AccountId_1037,1,17.857142857142858,0.0,17.857142857142858,17.857142857142858,0.0
AccountId_1039,3,138.0952380952381,57.73502691896256,71.42857142857143,171.42857142857142,99.99999999999999
AccountId_1040,1,185.7142857142857,0.0,185.7142857142857,185.7142857142857,0.0
AccountId_1041,1,357.1428571428571,0.0,357.1428571428571,357.1428571428571,0.0
AccountId_1042,3,309.52380952380946,82.47860988423224,214.28571428571428,357.1428571428571,142.85714285714283
AccountId_1043,4,314.2857142857142,85.71428571428572,185.7142857142857,357.1428571428571,171.42857142857142
AccountId_1044,5,57.142857142857146,49.55156044825574,17.857142857142858,142.85714285714286,125.0
AccountId_1045,25,312.1428571428571,460.2757233404763,17.857142857142858,1607.142857142857,1589.2857142857142
AccountId_1047,1,17.857142857142858,0.0,17.857142857142858,17.857142857142858,0.0
AccountId_1049,4,98.21428571428571,60.99375455928332,35.714285714285715,178.57142857142856,142.85714285714283
AccountId_105,1,35.714285714285715,0.0,35.714285714285715,35.714285714285715,0.0
AccountId_1051,2,71.42857142857143,0.0,71.42857142857143,71.42857142857143,0.0
AccountId_1053,1,17.857142857142858,0.0,17.857142857142858,17.857142857142858,0.0
AccountId_1054,12,318.4523809523809,96.86449486201442,178.57142857142856,464.2857142857143,285.7142857142857
AccountId_1055,1,35.714285714285715,0.0,35.714285714285715,35.714285714285715,0.0
AccountId_1056,14,82.65306122448979,66.59257114355404,17.857142857142858,178.57142857142856,160.7142857142857
AccountId_1057,10,235.7142857142857,84.51542547285165,178.57142857142856,357.1428571428571,178.57142857142856
AccountId_1058,6,41.666666666666664,14.580296087995109,35.714285714285715,71.42857142857143,35.714285714285715
AccountId_106,13,835.1648351648352,916.4198564076459,71.42857142857143,2142.8571428571427,2071.428571428571
AccountId_1060,90,205.13174603174602,266.37447190450155,17.857142857142858,1428.5714285714284,1410.7142857142856
AccountId_1061,2,285.71428571428567,101.01525445522104,214.28571428571428,357.1428571428571,142.85714285714283
AccountId_1062,24,62.14285714285714,54.05696123234494,17.857142857142858,178.57142857142856,160.7142857142857
AccountId_1063,2,125.0,75.76144084141579,71.42857142857143,178.57142857142856,107.14285714285712
AccountId_1064,1,125.0,0.0,125.0,125.0,0.0
AccountId_1065,5,285.71428571428567,97.80759955449393,178.57142857142856,357.1428571428571,178.57142857142856
AccountId_1066,6,77.97619047619047,50.072226744538355,46.42857142857142,178.57142857142856,132.14285714285714
AccountId_1067,6,184.52380952380952,265.7456458708585,35.714285714285715,714.2857142857142,678.5714285714286
AccountId_1068,2,250.35714285714286,303.5508396379393,35.714285714285715,465.0,429.2857142857143
AccountId_1069,9,33.73015873015873,33.65070005976802,7.142857142857142,107.14285714285714,100.0
AccountId_107,1,35.714285714285715,0.0,35.714285714285715,35.714285714285715,0.0
AccountId_1070,3,309.52380952380946,82.47860988423224,214.28571428571428,357.1428571428571,142.85714285714283
AccountId_1071,18,121.03174603174602,250.49138050243505,35.714285714285715,1071.428571428571,1035.7142857142853
